VIDEO_ID	VIDEO_NAME	SENTENCE_ID	SENTENCE_NAME	START_REALIGNED	END_REALIGNED	SENTENCE
--8pSDeC-fg	--8pSDeC-fg-5-rgb_front	--8pSDeC-fg_10	--8pSDeC-fg_10-5-rgb_front	45.55	52.32	Are you always focused on the positive aspects of your physical self instead of the negative?
--8pSDeC-fg	--8pSDeC-fg-5-rgb_front	--8pSDeC-fg_11	--8pSDeC-fg_11-5-rgb_front	52.37	56.01	If so you have high self esteem.
--8pSDeC-fg	--8pSDeC-fg-5-rgb_front	--8pSDeC-fg_12	--8pSDeC-fg_12-5-rgb_front	56.16	67.25	Low self esteem tends to bring us down and there's a set of thoughts or cognitions that tend to go with low self esteem.
--8pSDeC-fg	--8pSDeC-fg-5-rgb_front	--8pSDeC-fg_13	--8pSDeC-fg_13-5-rgb_front	67.47	73.63	Such as I am unlove, unlovable and no one will like me.
--8pSDeC-fg	--8pSDeC-fg-5-rgb_front	--8pSDeC-fg_14	--8pSDeC-fg_14-5-rgb_front	73.91	92.59	By doing cognitive therapy and working on those thoughts, we can help our clients to feel better about themselves by gaining a more accurate appraisal of themselves, their situation and their environment.
--8pSDeC-fg	--8pSDeC-fg-5-rgb_front	--8pSDeC-fg_15	--8pSDeC-fg_15-5-rgb_front	93.09	100.05	It's really important to notice if you have low self esteem because then you can do something about it.
--8pSDeC-fg	--8pSDeC-fg-5-rgb_front	--8pSDeC-fg_16	--8pSDeC-fg_16-5-rgb_front	100.07	107.83	This is Dr. Art Bowler and this has been how to tell if you have low self esteem.
--8pSDeC-fg	--8pSDeC-fg-5-rgb_front	--8pSDeC-fg_2	--8pSDeC-fg_2-5-rgb_front	4.58	9.63	And I'm a psychologist in Manhattan, New York City, where I have my own private practice.
--8pSDeC-fg	--8pSDeC-fg-5-rgb_front	--8pSDeC-fg_3	--8pSDeC-fg_3-5-rgb_front	9.69	17.0	In this clip I'm going to talk about how to tell if you have low self esteem.
--8pSDeC-fg	--8pSDeC-fg-5-rgb_front	--8pSDeC-fg_4	--8pSDeC-fg_4-5-rgb_front	17.02	25.55	Low self esteem or a low feeling about oneself is unfortunately very common.
--8pSDeC-fg	--8pSDeC-fg-5-rgb_front	--8pSDeC-fg_5	--8pSDeC-fg_5-5-rgb_front	25.56	28.87	But fortunately it's very fixable.
--8pSDeC-fg	--8pSDeC-fg-5-rgb_front	--8pSDeC-fg_6	--8pSDeC-fg_6-5-rgb_front	28.89	35.23	When one has low self esteem, the way you can tell is look in the mirror.
--8pSDeC-fg	--8pSDeC-fg-5-rgb_front	--8pSDeC-fg_7	--8pSDeC-fg_7-5-rgb_front	35.39	37.49	How do you feel about yourself?
--8pSDeC-fg	--8pSDeC-fg-5-rgb_front	--8pSDeC-fg_8	--8pSDeC-fg_8-5-rgb_front	37.52	39.26	What do you see?
--8pSDeC-fg	--8pSDeC-fg-5-rgb_front	--8pSDeC-fg_9	--8pSDeC-fg_9-5-rgb_front	39.45	45.52	Do you see the positive parts of your personality or do you notice the negative?
--dANj_01AU	--dANj_01AU-5-rgb_front	--dANj_01AU_0	--dANj_01AU_0-5-rgb_front	1.68	8.32	In the side position, we're going to be palming and thumbing the sen lines on the legs.
--dANj_01AU	--dANj_01AU-5-rgb_front	--dANj_01AU_1	--dANj_01AU_1-5-rgb_front	8.35	17.45	Now make sure your client is comfortable in the side position, supporting your head, knee supported, arms are resting in front comfortably.
--dANj_01AU	--dANj_01AU-5-rgb_front	--dANj_01AU_10	--dANj_01AU_10-5-rgb_front	73.36	76.79	I lift it up enough to make sure that I'm comfortable.
--dANj_01AU	--dANj_01AU-5-rgb_front	--dANj_01AU_11	--dANj_01AU_11-5-rgb_front	77.4	84.04	Come back and forth.
--dANj_01AU	--dANj_01AU-5-rgb_front	--dANj_01AU_12	--dANj_01AU_12-5-rgb_front	84.82	87.89	Always make sure you get a little thumbing in there too.
--dANj_01AU	--dANj_01AU-5-rgb_front	--dANj_01AU_13	--dANj_01AU_13-5-rgb_front	89.34	90.43	So we're going to start again on this one.
--dANj_01AU	--dANj_01AU-5-rgb_front	--dANj_01AU_14	--dANj_01AU_14-5-rgb_front	90.76	104.36	Place the thumb, place the thumb, just on the side of leg, and just kind of, you'll feel that you'll feel a little groove in there so you're not pressing up on any bones.
--dANj_01AU	--dANj_01AU-5-rgb_front	--dANj_01AU_15	--dANj_01AU_15-5-rgb_front	104.52	120.49	And just thumb up and pressing in the thumb in the area where, my fingerprint would be not on the tips of that stabbing her with my fingernails.
--dANj_01AU	--dANj_01AU-5-rgb_front	--dANj_01AU_16	--dANj_01AU_16-5-rgb_front	88.13	90.02	Be very mindful of that.
--dANj_01AU	--dANj_01AU-5-rgb_front	--dANj_01AU_17	--dANj_01AU_17-5-rgb_front	122.18	130.86	Coming in here and again, nice rocking back and forth, back and forth.
--dANj_01AU	--dANj_01AU-5-rgb_front	--dANj_01AU_18	--dANj_01AU_18-5-rgb_front	133.83	142.62	Not applying too much thumb pressure, to not only save your own thumbs but to not kind of over press on your client.
--dANj_01AU	--dANj_01AU-5-rgb_front	--dANj_01AU_19	--dANj_01AU_19-5-rgb_front	142.79	146.85	Back and forth.
--dANj_01AU	--dANj_01AU-5-rgb_front	--dANj_01AU_2	--dANj_01AU_2-5-rgb_front	17.48	21.75	So starting with palming on sen lines with this leg.
--dANj_01AU	--dANj_01AU-5-rgb_front	--dANj_01AU_20	--dANj_01AU_20-5-rgb_front	109.08	110.33	Back and forth.
--dANj_01AU	--dANj_01AU-5-rgb_front	--dANj_01AU_21	--dANj_01AU_21-5-rgb_front	110.36	114.52	Always giving a little bit of Meta, a little loving kindness as you finish.
--dANj_01AU	--dANj_01AU-5-rgb_front	--dANj_01AU_3	--dANj_01AU_3-5-rgb_front	21.79	25.61	On the front leg you're going to be doing the outside.
--dANj_01AU	--dANj_01AU-5-rgb_front	--dANj_01AU_4	--dANj_01AU_4-5-rgb_front	25.64	29.8	And on the inside leg closest to you, you're going to be doing the inside.
--dANj_01AU	--dANj_01AU-5-rgb_front	--dANj_01AU_5	--dANj_01AU_5-5-rgb_front	29.82	33.35	So we're going to start with the inside leg first.
--dANj_01AU	--dANj_01AU-5-rgb_front	--dANj_01AU_6	--dANj_01AU_6-5-rgb_front	33.67	41.82	Placing the palm, placing the palm and then start in a nice rocking fashion.
--dANj_01AU	--dANj_01AU-5-rgb_front	--dANj_01AU_7	--dANj_01AU_7-5-rgb_front	41.93	47.34	Walking it up, rocking it down.
--dANj_01AU	--dANj_01AU-5-rgb_front	--dANj_01AU_8	--dANj_01AU_8-5-rgb_front	48.33	61.65	And you can do this as long or as short as the massage requires, time wise or your client's needs.
--dANj_01AU	--dANj_01AU-5-rgb_front	--dANj_01AU_9	--dANj_01AU_9-5-rgb_front	61.75	70.63	Coming to the other one, and again, just in a nice rocking position.
-00cp1iGiDw	-00cp1iGiDw-5-rgb_front	-00cp1iGiDw_1	-00cp1iGiDw_1-5-rgb_front	9.82	17.22	If you like to find more about my services you can visit my website canineheadstart.com.
-00cp1iGiDw	-00cp1iGiDw-5-rgb_front	-00cp1iGiDw_10_11	-00cp1iGiDw_10_11-5-rgb_front	129.95	146.78	So that is one option. Another option is if you know your dog has fleas there is something called cap star and this is a product that is oral product.
-00cp1iGiDw	-00cp1iGiDw-5-rgb_front	-00cp1iGiDw_12	-00cp1iGiDw_12-5-rgb_front	146.86	164.92	It works right away and it will actually kill all of the fleas that are on the dog for the next 24 hours and it start working in about 30 minutes.
-00cp1iGiDw	-00cp1iGiDw-5-rgb_front	-00cp1iGiDw_13	-00cp1iGiDw_13-5-rgb_front	164.94	187.64	So if you taken your dog to a place or a friends house or to a training school and you believe that there are fleas there and your dog may have gotten fleas this is a great product to use when you are about to leave before you bring your dog to your home.
-00cp1iGiDw	-00cp1iGiDw-5-rgb_front	-00cp1iGiDw_14	-00cp1iGiDw_14-5-rgb_front	188.01	198.46	Again this is a oral preventive and this is also a oral preventive.
-00cp1iGiDw	-00cp1iGiDw-5-rgb_front	-00cp1iGiDw_15	-00cp1iGiDw_15-5-rgb_front	198.61	206.12	We are going to be talking about external flea prevention in the next video.
-00cp1iGiDw	-00cp1iGiDw-5-rgb_front	-00cp1iGiDw_2	-00cp1iGiDw_2-5-rgb_front	17.32	22.53	So we are going to be talking about flea prevention in this short video clip.
-00cp1iGiDw	-00cp1iGiDw-5-rgb_front	-00cp1iGiDw_3	-00cp1iGiDw_3-5-rgb_front	22.94	34.47	There are a number of products out there that you can use on your dog obviously one way to prevent fleas is not have you dog go out side but that is not really realistic.
-00cp1iGiDw	-00cp1iGiDw-5-rgb_front	-00cp1iGiDw_4	-00cp1iGiDw_4-5-rgb_front	34.57	40.48	So we are going to be talking about products that you can use to prevent fleas.
-00cp1iGiDw	-00cp1iGiDw-5-rgb_front	-00cp1iGiDw_5	-00cp1iGiDw_5-5-rgb_front	40.52	48.56	In the last of couple of years there has been a increase of different types of options out there that you can use.
-00cp1iGiDw	-00cp1iGiDw-5-rgb_front	-00cp1iGiDw_6	-00cp1iGiDw_6-5-rgb_front	48.66	56.87	I'm just going to talk about three of the ones that are most commonly used and seems to be more effective.
-00cp1iGiDw	-00cp1iGiDw-5-rgb_front	-00cp1iGiDw_7	-00cp1iGiDw_7-5-rgb_front	56.89	82.67	So there is something called sentinel and this is a monthly tablet and sentinel actually prevents not only fleas but heart worm as well and the come individually wrap packages.
-00cp1iGiDw	-00cp1iGiDw-5-rgb_front	-00cp1iGiDw_8	-00cp1iGiDw_8-5-rgb_front	82.76	118.17	The dogs typically like to eat them they are flavored so they chew them right up and what this does is it prevents the production of cottin so if a flea jumps on your dog bites your dog and ingest the blood meal then the blood meal would have the chemical ingredients of the sentinel when they lay there eggs they would not be able to produce cottin.
-00cp1iGiDw	-00cp1iGiDw-5-rgb_front	-00cp1iGiDw_9	-00cp1iGiDw_9-5-rgb_front	118.23	129.93	cottion is the excess scalp of a flea so it doesn't kill the fleas but it prevents them from infesting or reproducing in your home.
-06_nJnhORg	-06_nJnhORg-5-rgb_front	-06_nJnhORg_0	-06_nJnhORg_0-5-rgb_front	4.27	25.46	Some of the days that are the hardest are when, you know, I start out first thing in the morning and things just, like I woke up on the wrong side of the bed, or...or whatever, you know, type of phrase you want to use.
-06_nJnhORg	-06_nJnhORg-5-rgb_front	-06_nJnhORg_1	-06_nJnhORg_1-5-rgb_front	15.04	17.91	But things just don't go right from the very beginning.
-06_nJnhORg	-06_nJnhORg-5-rgb_front	-06_nJnhORg_10	-06_nJnhORg_10-5-rgb_front	112.12	118.19	I have lots of clients that want cleaning done Thursdays and Fridays, because they want it done right before the weekend.
-06_nJnhORg	-06_nJnhORg-5-rgb_front	-06_nJnhORg_11	-06_nJnhORg_11-5-rgb_front	118.19	122.44	So Thursdays are really jam-packed.
-06_nJnhORg	-06_nJnhORg-5-rgb_front	-06_nJnhORg_12	-06_nJnhORg_12-5-rgb_front	122.44	135.21	I've got three very big jobs, three very big houses that have, you know, three and four bathrooms, and, just large houses...so, that makes for a really long day.
-06_nJnhORg	-06_nJnhORg-5-rgb_front	-06_nJnhORg_13	-06_nJnhORg_13-5-rgb_front	135.2	144.73	And, I had one of those days where I just woke up and things just didn't want to go my way.
-06_nJnhORg	-06_nJnhORg-5-rgb_front	-06_nJnhORg_14	-06_nJnhORg_14-5-rgb_front	144.73	151.25	So I...I continued to fight through it, fight through it...didn't feel real great.
-06_nJnhORg	-06_nJnhORg-5-rgb_front	-06_nJnhORg_15	-06_nJnhORg_15-5-rgb_front	151.25	158.66	So, got in the car, got to the first job, everything went, you know, okay....I was good, but I was still a little bit late.
-06_nJnhORg	-06_nJnhORg-5-rgb_front	-06_nJnhORg_16	-06_nJnhORg_16-5-rgb_front	158.66	169.51	So, got to the next job, and, you know, moving right along, and I go out to get some cleaning supplies out of my car, and it's locked.
-06_nJnhORg	-06_nJnhORg-5-rgb_front	-06_nJnhORg_17	-06_nJnhORg_17-5-rgb_front	169.51	186.33	And I go to get my keys out of my little supply box, and they weren't in there, so, I, you know, look around for my keys, and, sure enough, they are locked in my car and I have no extras.
-06_nJnhORg	-06_nJnhORg-5-rgb_front	-06_nJnhORg_18	-06_nJnhORg_18-5-rgb_front	186.33	196.03	I have none at home, I have no extras, cause I have an extra key in my car, and I have my remote in my car.
-06_nJnhORg	-06_nJnhORg-5-rgb_front	-06_nJnhORg_19	-06_nJnhORg_19-5-rgb_front	196.03	198.68	And, so, that was kind of tough.
-06_nJnhORg	-06_nJnhORg-5-rgb_front	-06_nJnhORg_2	-06_nJnhORg_2-5-rgb_front	26.3	46.82	You get a late start, you, you know, get to the house and it's an extra big mess, and, you know, you just....one thing after the other just leads to a tough day of...of a long tough day working.
-06_nJnhORg	-06_nJnhORg-5-rgb_front	-06_nJnhORg_20	-06_nJnhORg_20-5-rgb_front	198.68	210.29	So, I, you know, I had to just fight through the cleaning, and had to have a lock-smith come out and open my doors, and I had to go to another job.
-06_nJnhORg	-06_nJnhORg-5-rgb_front	-06_nJnhORg_21	-06_nJnhORg_21-5-rgb_front	224.24	225.06	So, you know, sometimes when things just don't go your way...you know, you just have a rough day, and you go to bed that night and you hopefully wake up the next morning and.. and it's all better.
-06_nJnhORg	-06_nJnhORg-5-rgb_front	-06_nJnhORg_3	-06_nJnhORg_3-5-rgb_front	46.82	66.25	Generally, I...I will schedule two to three houses a day, and if I get a late start then, you know, of course, that just delays the next job, and then the next job, and then it can be seven or eight at night when I get home.
-06_nJnhORg	-06_nJnhORg-5-rgb_front	-06_nJnhORg_4_5	-06_nJnhORg_4_5-5-rgb_front	66.25	87.92	And one thing that I like...I try not to do is to interfere with my client's family time as well. So, when I get a late start, and maybe I have a horrendous house that I had to clean and...and wasn't planning on it, then my day gets later and I start to intrude into their family time.
-06_nJnhORg	-06_nJnhORg-5-rgb_front	-06_nJnhORg_6_7	-06_nJnhORg_6_7-5-rgb_front	87.92	98.35	And...and that makes it tough for me, I don't...I don't like to do that at all. So that's probably the hardest part, is, if I don't start my day right.
-06_nJnhORg	-06_nJnhORg-5-rgb_front	-06_nJnhORg_8	-06_nJnhORg_8-5-rgb_front	98.35	107.61	So, I kind of have to mentally prepare myself for my day, so, that's probably the hardest day for me, is not preparing myself.
-06_nJnhORg	-06_nJnhORg-5-rgb_front	-06_nJnhORg_9	-06_nJnhORg_9-5-rgb_front	107.61	112.12	One of my toughest days are Thursdays.
-08ZGCviCm4	-08ZGCviCm4-5-rgb_front	-08ZGCviCm4_0	-08ZGCviCm4_0-5-rgb_front	0.73	11.82	Hello welcome my name is Julio Nutt and I am a master instructor of the Jim McLean Golf School in Miami, Florida.
-08ZGCviCm4	-08ZGCviCm4-5-rgb_front	-08ZGCviCm4_1	-08ZGCviCm4_1-5-rgb_front	12.14	19.52	In this clip I am going to talk about a great drill that is really going to help you to shift your weight forward.
-08ZGCviCm4	-08ZGCviCm4-5-rgb_front	-08ZGCviCm4_2	-08ZGCviCm4_2-5-rgb_front	20.27	27.23	In golf you have got to learn to shift your weight forward in order to hit the ball and transfer your weight into your left side.
-08ZGCviCm4	-08ZGCviCm4-5-rgb_front	-08ZGCviCm4_3	-08ZGCviCm4_3-5-rgb_front	28.49	44.91	But many amateurs when hitting the ball they hang to the right side, they get their arms really close and tight to their bodies and they have a lot of difficulty transferring their weight into their left side.
-08ZGCviCm4	-08ZGCviCm4-5-rgb_front	-08ZGCviCm4_4	-08ZGCviCm4_4-5-rgb_front	45.05	62.53	Just using a shaft would be a great drill to use because when we're throwing something forward we're throwing a Frisbee, if we're throwing a ball the natural motion is to throw the weight with it.
-08ZGCviCm4	-08ZGCviCm4-5-rgb_front	-08ZGCviCm4_5	-08ZGCviCm4_5-5-rgb_front	62.63	71.63	So right now I'm not going to think about hitting the golf ball, I'm going to think about throwing the shaft.
-08ZGCviCm4	-08ZGCviCm4-5-rgb_front	-08ZGCviCm4_6	-08ZGCviCm4_6-5-rgb_front	72.48	85.83	So I'm going to get in my golf position and as I swing I am going to let the shot go as hard as I can and that is really going to help me develop the habit of throwing my weight.
-08ZGCviCm4	-08ZGCviCm4-5-rgb_front	-08ZGCviCm4_7	-08ZGCviCm4_7-5-rgb_front	86.87	90.44	That is a great tip that I give to a lot of my students.
-08ZGCviCm4	-08ZGCviCm4-5-rgb_front	-08ZGCviCm4_8	-08ZGCviCm4_8-5-rgb_front	90.51	98.29	When hitting the ball think about throwing the club and that is going to generate extension and weight transfer.
-08ZGCviCm4	-08ZGCviCm4-5-rgb_front	-08ZGCviCm4_9	-08ZGCviCm4_9-5-rgb_front	98.37	104.27	This is Julio Nutt at the Jim McLean Golf School.
-0BynF9TSNI	-0BynF9TSNI-5-rgb_front	-0BynF9TSNI_1	-0BynF9TSNI_1-5-rgb_front	11.47	23.76	Today I'm going to take you back into time and I'm going to show you one of my grandmother's favorite things to make the kids and that was sweet bruschetta.
-0BynF9TSNI	-0BynF9TSNI-5-rgb_front	-0BynF9TSNI_10	-0BynF9TSNI_10-5-rgb_front	66.04	75.57	This recipe what my grandmother use to do this and I hope you enjoy it, I hope you make it, it's really fun and fast.
-0BynF9TSNI	-0BynF9TSNI-5-rgb_front	-0BynF9TSNI_11	-0BynF9TSNI_11-5-rgb_front	75.65	78.12	The kids will love you for it.
-0BynF9TSNI	-0BynF9TSNI-5-rgb_front	-0BynF9TSNI_12	-0BynF9TSNI_12-5-rgb_front	78.16	83.85	I'll show you the ingredients, utensils it's literally 15 minutes and it's done.
-0BynF9TSNI	-0BynF9TSNI-5-rgb_front	-0BynF9TSNI_13	-0BynF9TSNI_13-5-rgb_front	84.13	84.92	I hope you make it.
-0BynF9TSNI	-0BynF9TSNI-5-rgb_front	-0BynF9TSNI_2	-0BynF9TSNI_2-5-rgb_front	24.57	29.57	Sweet bruschetta is just the mixing of different things chopped up and baked in the oven.
-0BynF9TSNI	-0BynF9TSNI-5-rgb_front	-0BynF9TSNI_4	-0BynF9TSNI_4-5-rgb_front	41.09	46.58	But today we're going to show you one for the kids and especially the big kids like me.
-0BynF9TSNI	-0BynF9TSNI-5-rgb_front	-0BynF9TSNI_5	-0BynF9TSNI_5-5-rgb_front	46.62	48.31	I mean this is nice.
-0BynF9TSNI	-0BynF9TSNI-5-rgb_front	-0BynF9TSNI_6	-0BynF9TSNI_6-5-rgb_front	48.34	54.0	You're going to use a whole bunch of things like bananas is the main thing.
-0BynF9TSNI	-0BynF9TSNI-5-rgb_front	-0BynF9TSNI_7	-0BynF9TSNI_7-5-rgb_front	54.67	59.74	When you put in beneath that flame, it glazes and just comes out spectacular.
-0BynF9TSNI	-0BynF9TSNI-5-rgb_front	-0BynF9TSNI_8	-0BynF9TSNI_8-5-rgb_front	59.97	62.81	I'm going to show you all the ingredients of this recipe.
-0BynF9TSNI	-0BynF9TSNI-5-rgb_front	-0BynF9TSNI_9	-0BynF9TSNI_9-5-rgb_front	63.26	65.81	This is at least 60, 70s years old I think.
-0FA6OhxZSE	-0FA6OhxZSE-5-rgb_front	-0FA6OhxZSE_0	-0FA6OhxZSE_0-5-rgb_front	0.66	2.95	DAVID CLEMEN: Hi.
-0FA6OhxZSE	-0FA6OhxZSE-5-rgb_front	-0FA6OhxZSE_10	-0FA6OhxZSE_10-5-rgb_front	102.02	109.13	I'm left-handed but I played sports with right, so I do squeegee with the right hand.
-0FA6OhxZSE	-0FA6OhxZSE-5-rgb_front	-0FA6OhxZSE_11	-0FA6OhxZSE_11-5-rgb_front	109.14	114.45	And so, that's squeegeeing the second color.
-0FA6OhxZSE	-0FA6OhxZSE-5-rgb_front	-0FA6OhxZSE_2	-0FA6OhxZSE_2-5-rgb_front	14.63	23.32	Alright, now that I've plopped my white paint, I'm going to pick up my favorite tool again.
-0FA6OhxZSE	-0FA6OhxZSE-5-rgb_front	-0FA6OhxZSE_3	-0FA6OhxZSE_3-5-rgb_front	23.32	27.34	And I'm just going to come in here and just kinda fill it out.
-0FA6OhxZSE	-0FA6OhxZSE-5-rgb_front	-0FA6OhxZSE_4	-0FA6OhxZSE_4-5-rgb_front	27.35	59.87	And now, when you mix the red and white in big areas, if it's too much red and you don't move it fast enough, you'll start to get pink so I want to try and keep the integrity of the white and I'm just going to move that fast, and see how--I don't know if you can see it, but since the paint has kind of dried quickly on this paint on the wood, it's already created a texture underneath of it.
-0FA6OhxZSE	-0FA6OhxZSE-5-rgb_front	-0FA6OhxZSE_5	-0FA6OhxZSE_5-5-rgb_front	59.87	65.65	So, now, I'm getting this texture of the paint underneath of it.
-0FA6OhxZSE	-0FA6OhxZSE-5-rgb_front	-0FA6OhxZSE_6	-0FA6OhxZSE_6-5-rgb_front	65.65	74.77	So, I'm just going to come in here and do these big squeegee marks and not going to go too crazy with it.
-0FA6OhxZSE	-0FA6OhxZSE-5-rgb_front	-0FA6OhxZSE_7	-0FA6OhxZSE_7-5-rgb_front	74.77	78.05	And I'm not trying to cover up all the red.
-0FA6OhxZSE	-0FA6OhxZSE-5-rgb_front	-0FA6OhxZSE_8	-0FA6OhxZSE_8-5-rgb_front	78.05	88.69	I'm just trying to get certain areas and show the white on the top of the red.
-0FA6OhxZSE	-0FA6OhxZSE-5-rgb_front	-0FA6OhxZSE_9	-0FA6OhxZSE_9-5-rgb_front	88.69	102.02	And then, I can come in and I can actually just do almost like, I guess you would say it's like almost a karate chop or samurai swing to the right or left.
-0JdYlTf9Y8	-0JdYlTf9Y8-5-rgb_front	-0JdYlTf9Y8_0_1	-0JdYlTf9Y8_0_1-5-rgb_front	0.34	12.69	In this clip we're going to talk about how to buy a trophy. Most people will come into my show room and they'll ask me how much is a twenty inch trophy.
-0JdYlTf9Y8	-0JdYlTf9Y8-5-rgb_front	-0JdYlTf9Y8_10	-0JdYlTf9Y8_10-5-rgb_front	85.47	95.12	So when it comes to buying a trophy, it's not how tall it is for the dollar.
-0JdYlTf9Y8	-0JdYlTf9Y8-5-rgb_front	-0JdYlTf9Y8_11	-0JdYlTf9Y8_11-5-rgb_front	95.12	97.95	It's really, what you get for your dollar.
-0JdYlTf9Y8	-0JdYlTf9Y8-5-rgb_front	-0JdYlTf9Y8_2	-0JdYlTf9Y8_2-5-rgb_front	12.69	22.74	And I say to them we don't sell trophies by the inch, and I give them this fine example here.
-0JdYlTf9Y8	-0JdYlTf9Y8-5-rgb_front	-0JdYlTf9Y8_3	-0JdYlTf9Y8_3-5-rgb_front	22.74	24.48	This is a forty-eight inch trophy.
-0JdYlTf9Y8	-0JdYlTf9Y8-5-rgb_front	-0JdYlTf9Y8_4	-0JdYlTf9Y8_4-5-rgb_front	24.48	32.04	If you go to any trophy store and they can offer you this forty-eight inch trophy for as little as $20.
-0JdYlTf9Y8	-0JdYlTf9Y8-5-rgb_front	-0JdYlTf9Y8_5	-0JdYlTf9Y8_5-5-rgb_front	34.21	43.17	As you can see, if you were to buy a trophy by the inch, someone could sell you this and you wouldn't be very happy with it.
-0JdYlTf9Y8	-0JdYlTf9Y8-5-rgb_front	-0JdYlTf9Y8_6	-0JdYlTf9Y8_6-5-rgb_front	43.17	54.4	So my recommendation is not to try and buy a trophy based on how tall it is but take into consideration the materials that it's made of.
-0JdYlTf9Y8	-0JdYlTf9Y8-5-rgb_front	-0JdYlTf9Y8_7	-0JdYlTf9Y8_7-5-rgb_front	54.41	62.14	We use marble bases that are imported directly from Italy.
-0JdYlTf9Y8	-0JdYlTf9Y8-5-rgb_front	-0JdYlTf9Y8_8	-0JdYlTf9Y8_8-5-rgb_front	67.57	78.56	We also put little felt dots on the bottom of the trophies and that keeps them from scratching your furniture when you get home.
-0JdYlTf9Y8	-0JdYlTf9Y8-5-rgb_front	-0JdYlTf9Y8_9	-0JdYlTf9Y8_9-5-rgb_front	78.57	85.47	A lot of times people will try and save money in building a trophy by leaving out these little things.
-0N0jbyBW6g	-0N0jbyBW6g-5-rgb_front	-0N0jbyBW6g_0	-0N0jbyBW6g_0-5-rgb_front	1.79	2.27	Hello.
-0N0jbyBW6g	-0N0jbyBW6g-5-rgb_front	-0N0jbyBW6g_1	-0N0jbyBW6g_1-5-rgb_front	2.27	8.53	We're going to be speaking about cross stitch craft kits today.
-0N0jbyBW6g	-0N0jbyBW6g-5-rgb_front	-0N0jbyBW6g_10	-0N0jbyBW6g_10-5-rgb_front	87.85	90.52	My name is Daniel King.
-0N0jbyBW6g	-0N0jbyBW6g-5-rgb_front	-0N0jbyBW6g_11	-0N0jbyBW6g_11-5-rgb_front	90.54	91.35	Thank you.
-0N0jbyBW6g	-0N0jbyBW6g-5-rgb_front	-0N0jbyBW6g_2	-0N0jbyBW6g_2-5-rgb_front	9.73	16.34	My name is Daniel King, and I'm an experienced pattern maker, designer and sewer.
-0N0jbyBW6g	-0N0jbyBW6g-5-rgb_front	-0N0jbyBW6g_3	-0N0jbyBW6g_3-5-rgb_front	16.34	22.49	Cross stitch craft kits are kits that you can order through many craft stores or art supply stores.
-0N0jbyBW6g	-0N0jbyBW6g-5-rgb_front	-0N0jbyBW6g_4	-0N0jbyBW6g_4-5-rgb_front	22.49	27.92	These kits allow you to do different designs.
-0N0jbyBW6g	-0N0jbyBW6g-5-rgb_front	-0N0jbyBW6g_5	-0N0jbyBW6g_5-5-rgb_front	27.92	42.33	What the kit incorporates is a fabric background, usually the different colored threads, and a hoop for hooping and taut, to make the fabric taut.
